title,agoda.com_price,MakeMyTrip.com_price,Trip.com_price
Mayfair Lagoon,"8,294","7,421","10,146"
Swosti Premium Hotel,"3,307","3,749","3,949"
"Trident, Bhubaneswar","7,000","7,000","7,000"
Fortune Park Sishmo,"7,000","5,985","10,800"
Ginger Bhubaneshwar,"3,057","4,653","5,999"
Swosti Grand,"2,680","2,435","5,999"
Hotel Pushpak,"1,884","2,299","2,299"
Hotel Hindusthan International Bhubaneswar,"2,040","2,369","2,550"
VITS Bhubaneswar Hotel,"2,239","1,810","2,550"
Mayfair Convention,"4,850","4,147","4,054"
La Franklin Hotel,"2,043","2,089",
Pal Heights,"4,737","5,100","5,100"
Treebo Trend King's Court,"4,737","1,238",
Pipul Padmaja Premium Hotel & Convention,"3,444","2,927",
Treebo Trend Hotel Oasis,,"2,358",
Empires Hotel Bhubaneswar,"2,622","2,462","3,279"
The Crown,"4,554","4,275","6,500"
Suryansh Hotel and Resort,,"2,565","6,500"
Pal Heights Mantra,"4,246","4,275","5,100"
The Presidency,"1,710","2,091","2,164"
Mango Hotels Prangan - Bhubaneshwar,"1,703","2,481","2,555"
Kalinga Ashok,"2,822","2,931","5,500"
Hotel Sandy's Tower,"5,130","6,300","7,931"
OYO 16631 Greenstar Inn,"5,130",999,"1,011"
OYO 16722 The Countryside Resort,"1,187","1,187","1,187"
Saraswati Retreat,,"1,271",
New Marrion Hotel,"3,680","3,945","4,900"
OYO 3121 Odisha Stays,"2,488","2,516","2,516"
Second Home Guest House,"2,488",417,
Capital O 10271 Hotel Guest Inn,"1,446","1,446","1,446"
The Idol Paradise,"3,205","1,799","3,599"
OYO 8346 LazyStays,"1,506","1,506",
Arya Palace,"3,246","1,763","3,248"
Hotel Durene,,"1,609",
OYO 11408 Hotel Sai Jagannath,"1,903","1,874",
OYO 2338 Hotel Pelican,,"1,764",
OYO 8740 Nayapalli,"11,138","11,138",
OYO 11345 Hotel White House Inn,"1,430","1,430",
Hotel Deepali International,"1,500","1,500",
OYO 8222 Capital Guest House 2,"1,371","1,371",
OYO 9009 Labella Guest House,"1,563","1,563",
OYO 3869 Hotel Daaven,"11,138","11,133",
Sambit Palace Hotel,"1,800","1,800",
Biraj Holidays and Hotels,"1,800",673,
Hotel the Suncity,"2,421","1,481","2,690"
OYO 16159 Hotel Keshari,,"1,148",
Hotel Royal Inn,"1,240","2,744",
JSB Maytri Inn,915,915,
OYO 9701 Ratna Resort,999,999,
Lal Qila Hotel,"1,500","1,500",
OYO 67866 Hotel Sai,"1,571","1,571",
OYO 62324 Elegant Stay,818,818,
OYO 26853 New Central,890,890,
"The Rooftop Cabana, A Homestay","1,539","1,539",
Pabitra Royal Regency,,"2,250",
OYO 16535 Chilika Residency,,"1,244","1,244"
OYO Townhouse 203 Mancheswar,"1,559","1,559","1,244"
The Bollywood Hotel,,"2,000","1,244"
OYO 66350 Hotel Space Setter,"1,063","1,063","1,244"
Khushi My 2nd Home,,"1,202","1,244"
Pal Heights,"4,845","4,500","4,500"
Mango Hotels Prangan - Bhubaneshwar,"1,703","2,415","2,800"
Suryansh Hotel and Resort,,"2,565",
Pal Heights Mantra,"4,005","4,500","4,500"
Hotel Sandy's Tower,"5,130","6,300","7,931"
Saraswati Retreat,,"1,271",
New Marrion Hotel,"4,018","3,680","4,900"
Hotel Grand Central,"3,098","2,790","4,900"
Second Home Guest House,"3,098",490,714
Hotel The Sutrupti,,"1,577",
Sublime Home stay,"2,550","2,550",
Hotel Landmark,"2,000","2,000",
Priya Hotel,"2,200","2,200",
Hotel Excellency,"2,565","3,252","4,764"
The Royale Midtown,,"2,969",
Venus Inn,"1,500","1,500",
Hotel Vintage Villa,"1,500",704,"1,679"
Hotel Sidharth,"2,914","3,046","3,754"
B10 International,,"2,708","3,754"
Hotel Rajdhani,,"1,492","3,754"
Hotel Annapurna,,"2,448",
Nilay Residency,"2,000","2,000",
OYO 75298 Moonlight Guest House 3,"1,063","1,063",
OYO 12756 Galaxy Homes,"9,439","9,434",
Capital O 10271 Hotel Guest Inn,,"1,790",
OYO 10510 Village Inn,"11,138","11,133",
OYO 5417 Hotel Venus Heritage,"1,925","1,925",
Capital O 62001 Chetan Inn,"1,925","1,687",
WeKare Guest House,"1,925","1,091",
OYO 18355 Hotel Moonlight,"1,545","1,545","1,545"
Sand Pebbles Homestay,,"2,921","3,599"
OYO 10493 MS Residency,"1,471","1,471","3,599"
Kumud Plaza,"1,250","1,250",
Hotel 7Saat,,"1,539",
The Acco,"1,900","1,900",
LM Transit House,590,590,
OYO 10982 Hotel Sai Prabha,"1,898","1,898",
Hotel Railview,"1,339","1,339",
Radhika Resort,897,"2,000",
Swagat Hotel,897,874,
The Tara Residency,,"1,346",
OYO 27602 Hotel Green Space,"1,647","1,647",
Hotel Nirmala Residency,763,"1,282","3,074"
OYO 23251 Prime Residency,"6,275","6,275",
Swagat Inn,,"1,568",
Sambit Royale,,"1,778",
Brothers Residency 2,,787,
OYO 4108 near Kalinga Hospital,"1,241","1,241",
OYO 9246 Paradise Inn,"1,276","1,276",
OYO 2279 Greenwood Galaxy,"1,234","1,234",
OYO 8195 Patia,"1,559","1,559",
Capital O 9855 Hotel Royal Suites,,"2,138",
Kanchan Plaza The,,"1,121",
Bandhan Inn,"2,555","2,555",
Capital Guest House,"2,555",718,
OYO 16363 Advik Cottage,"1,280","1,280",
OYO 11343 Hotel Sai International,"4,377","4,377",
Casa Residency,"1,650","1,650",
White Residency,"1,650",575,
OYO 8858 The Corpz Inn,"11,138","11,138",
Four Seasons Inn,"1,602","1,710","3,599"
OYO 9548 Green Villa Guest House,"1,814","1,814",
OYO 66584 New Jagamara Guest House,"1,180","1,180",
OYO 45958 New Castle Inn,"1,547","1,547",
OYO 43609 Ms Heritage,"1,063","1,063",
OYO 22510 Ma Classic Inn,"1,360","1,331",
Hotel Keshari,"1,360","1,148",
The Middleton,,"2,140",
OYO 18722 Sandhya Inn,"1,153","1,153",
OYO 47605 Satya Homes,"1,470","1,470",
OYO 27030 Hotel Blue Bell,"1,327","1,327",
Capital O 61048 Lazystay Grand,"1,641","1,641",
OYO Home 36578 Elegant Stay,"1,144","1,144",
Collection O 30111 Hotel Miland Palace Cuttak Rd,"1,645","1,645",
Collection O 35655 Hotel Kalinga Bapuji Nagar,"1,418","1,418",
Goroomgo Om Sai Residency Bhubaneswar,"1,599","1,599",
OYO 68832 S&h Residency,"1,066","1,066",
OYO 9564 KIIT University,"1,066","1,417","1,417"
OYO 40638 Hotel Turmeric Leaf,"1,488","1,488","1,417"
